,celltypes_fine,celltypes_coarse
127789-8,Classical_CEACAM,Classical PDAC
127793-8,Macrophages_M1,Macrophages
127808-8,Ductal cells,Ductal cells
127838-8,Classical_CEACAM,Classical PDAC
127886-8,Basal,Basal-like PDAC
127947-8,Ductal cells,Ductal cells
127954-8,Classical_CEACAM,Classical PDAC
127955-8,T cells,Lymphocytes
127958-8,Classical_CEACAM,Classical PDAC
127990-8,T cells,Lymphocytes
128005-8,myCAF_POSTN,Fibroblasts
128011-8,NK cells,Lymphocytes
128015-8,Basal,Basal-like PDAC
128019-8,Classical_CEACAM,Classical PDAC
128020-8,Basal,Basal-like PDAC
128031-8,Classical_CEACAM,Classical PDAC
128037-8,Classical_KRT7,Classical PDAC
128041-8,Beta cells,Endocrine cells
128042-8,Classical_CEACAM,Classical PDAC
128052-8,Classical_CEACAM,Classical PDAC
128062-8,Classical_TFF1,Classical PDAC
128073-8,Classical_TFF1,Classical PDAC
128083-8,Classical_TFF1,Classical PDAC
128110-8,Alpha cells,Endocrine cells
128141-8,Endothelial cells,Endothelial cells
128143-8,Basal,Basal-like PDAC
128188-8,Classical_TFF1,Classical PDAC
128222-8,Classical_KRT7,Classical PDAC
128228-8,Classical_CEACAM,Classical PDAC
128235-8,Classical_REG4,Classical PDAC
128254-8,Basal,Basal-like PDAC
128284-8,Classical_REG4,Classical PDAC
128297-8,Ductal cells,Ductal cells
128302-8,Macrophages_M1,Macrophages
128311-8,Classical_CEACAM,Classical PDAC
128324-8,myCAF_ACTA2,Fibroblasts
128352-8,Acinar cells,Acinar cells
128366-8,Ductal cells,Ductal cells
128383-8,Classical_CEACAM,Classical PDAC
128384-8,myCAF_POSTN,Fibroblasts
128388-8,Classical_CEACAM,Classical PDAC
128397-8,Classical_CEACAM,Classical PDAC
128428-8,Classical_TFF1,Classical PDAC
128451-8,Endothelial cells,Endothelial cells
128452-8,Acinar cells,Acinar cells
128468-8,Classical_KRT7,Classical PDAC
128497-8,Basal,Basal-like PDAC
128498-8,Ductal cells,Ductal cells
128502-8,Endothelial cells,Endothelial cells
128505-8,Acinar cells,Acinar cells
128524-8,Basal,Basal-like PDAC
128542-8,Basal,Basal-like PDAC
128571-8,Classical_CEACAM,Classical PDAC
128590-8,myCAF_ACTA2,Fibroblasts
128605-8,Basal,Basal-like PDAC
128606-8,Classical_KRT7,Classical PDAC
128616-8,Classical_KRT7,Classical PDAC
128621-8,Classical_TFF1,Classical PDAC
128634-8,Endothelial cells,Endothelial cells
128643-8,iCAF,Fibroblasts
128648-8,Classical_KRT7,Classical PDAC
128650-8,Classical_KRT7,Classical PDAC
128660-8,Ductal cells,Ductal cells
128674-8,Classical_CEACAM,Classical PDAC
128714-8,Endothelial cells,Endothelial cells
128722-8,Classical_CEACAM,Classical PDAC
128730-8,Classical_TFF1,Classical PDAC
128740-8,Classical_CEACAM,Classical PDAC
128741-8,Macrophages_M1,Macrophages
128754-8,B cells,Lymphocytes
128771-8,T cells,Lymphocytes
128781-8,myCAF_ACTA2,Fibroblasts
128850-8,Classical_TFF1,Classical PDAC
128851-8,Classical_KRT7,Classical PDAC
128867-8,Endothelial cells,Endothelial cells
128875-8,Classical_CEACAM,Classical PDAC
128879-8,Classical_CEACAM,Classical PDAC
128909-8,Classical_TFF1,Classical PDAC
128910-8,Classical_CEACAM,Classical PDAC
128927-8,Classical_KRT7,Classical PDAC
128930-8,Classical_CEACAM,Classical PDAC
128952-8,B cells,Lymphocytes
128971-8,Classical_KRT7,Classical PDAC
129002-8,Classical_KRT7,Classical PDAC
129029-8,Classical_CEACAM,Classical PDAC
129048-8,Classical_CEACAM,Classical PDAC
129055-8,Classical_TFF1,Classical PDAC
129063-8,Ductal cells,Ductal cells
129072-8,Classical_TFF1,Classical PDAC
129086-8,Classical_CEACAM,Classical PDAC
129089-8,B cells,Lymphocytes
129131-8,Ductal cells,Ductal cells
129138-8,myCAF_POSTN,Fibroblasts
129150-8,Macrophages_M1,Macrophages
129163-8,Ductal cells,Ductal cells
129203-8,Basal,Basal-like PDAC
129216-8,Classical_KRT7,Classical PDAC
129231-8,Classical_REG4,Classical PDAC
129237-8,Classical_CEACAM,Classical PDAC
129254-8,Classical_CEACAM,Classical PDAC
129257-8,Classical_CEACAM,Classical PDAC
129265-8,Acinar cells,Acinar cells
129281-8,Classical_CEACAM,Classical PDAC
129297-8,Classical_TFF1,Classical PDAC
129321-8,Endothelial cells,Endothelial cells
129329-8,Classical_KRT7,Classical PDAC
129331-8,Classical_REG4,Classical PDAC
129343-8,Acinar cells,Acinar cells
129358-8,Classical_KRT7,Classical PDAC
129365-8,Classical_CEACAM,Classical PDAC
129381-8,Classical_CEACAM,Classical PDAC
129388-8,Endothelial cells,Endothelial cells
129395-8,Classical_CEACAM,Classical PDAC
129398-8,Classical_KRT7,Classical PDAC
129415-8,Endothelial cells,Endothelial cells
129430-8,NK cells,Lymphocytes
129436-8,Classical_TFF1,Classical PDAC
129450-8,Schwann cells,Schwann cells
129459-8,Classical_TFF1,Classical PDAC
129495-8,T cells,Lymphocytes
129496-8,Endothelial cells,Endothelial cells
129536-8,Classical_CEACAM,Classical PDAC
129539-8,Macrophages_M1,Macrophages
129583-8,B cells,Lymphocytes
129590-8,Classical_CEACAM,Classical PDAC
129618-8,Classical_REG4,Classical PDAC
129642-8,Classical_CEACAM,Classical PDAC
129643-8,Ductal cells,Ductal cells
129648-8,Classical_CEACAM,Classical PDAC
129657-8,Acinar cells,Acinar cells
129665-8,T cells,Lymphocytes
129682-8,B cells,Lymphocytes
129683-8,B cells,Lymphocytes
129697-8,Macrophages_M1,Macrophages
129699-8,Classical_CEACAM,Classical PDAC
129704-8,Basal,Basal-like PDAC
129715-8,Basal,Basal-like PDAC
129742-8,Classical_CEACAM,Classical PDAC
129760-8,Endothelial cells,Endothelial cells
129765-8,Classical_KRT7,Classical PDAC
129773-8,Basal,Basal-like PDAC
129799-8,Schwann cells,Schwann cells
129836-8,Macrophages_M1,Macrophages
129850-8,Classical_CEACAM,Classical PDAC
129856-8,myCAF_POSTN,Fibroblasts
129885-8,Ductal cells,Ductal cells
129887-8,myCAF_POSTN,Fibroblasts
129889-8,Classical_CEACAM,Classical PDAC
129893-8,myCAF_ACTA2,Fibroblasts
129897-8,Alpha cells,Endocrine cells
129899-8,myCAF_ACTA2,Fibroblasts
129905-8,Basal,Basal-like PDAC
129915-8,Classical_CEACAM,Classical PDAC
129941-8,Classical_TFF1,Classical PDAC
129946-8,myCAF_POSTN,Fibroblasts
129947-8,Basal,Basal-like PDAC
129949-8,Schwann cells,Schwann cells
129962-8,Macrophages_M1,Macrophages
129978-8,Classical_CEACAM,Classical PDAC
129988-8,Basal,Basal-like PDAC
130009-8,Classical_KRT7,Classical PDAC
130023-8,Classical_TFF1,Classical PDAC
130047-8,Classical_TFF1,Classical PDAC
130053-8,Macrophages_M1,Macrophages
130073-8,Ductal cells,Ductal cells
130092-8,Basal,Basal-like PDAC
130094-8,Classical_REG4,Classical PDAC
130096-8,Ductal cells,Ductal cells
130102-8,Basal,Basal-like PDAC
130107-8,Classical_CEACAM,Classical PDAC
130113-8,Beta cells,Endocrine cells
130135-8,Ductal cells,Ductal cells
130144-8,Classical_REG4,Classical PDAC
130150-8,Classical_TFF1,Classical PDAC
130162-8,B cells,Lymphocytes
130163-8,Ductal cells,Ductal cells
130179-8,Alpha cells,Endocrine cells
130196-8,Classical_CEACAM,Classical PDAC
130204-8,NK cells,Lymphocytes
130207-8,Classical_CEACAM,Classical PDAC
130210-8,Classical_KRT7,Classical PDAC
130214-8,Classical_KRT7,Classical PDAC
130222-8,Endothelial cells,Endothelial cells
130226-8,Classical_TFF1,Classical PDAC
130227-8,Basal,Basal-like PDAC
130244-8,myCAF_ACTA2,Fibroblasts
130247-8,Basal,Basal-like PDAC
130248-8,Classical_CEACAM,Classical PDAC
130254-8,Classical_REG4,Classical PDAC
130265-8,Classical_CEACAM,Classical PDAC
130266-8,myCAF_ACTA2,Fibroblasts
130278-8,Classical_REG4,Classical PDAC
130281-8,Classical_CEACAM,Classical PDAC
130282-8,Ductal cells,Ductal cells
130283-8,Basal,Basal-like PDAC
130292-8,Beta cells,Endocrine cells
130306-8,Classical_TFF1,Classical PDAC
130323-8,Macrophages_M1,Macrophages
130327-8,Classical_CEACAM,Classical PDAC
130328-8,Ductal cells,Ductal cells
130340-8,myCAF_ACTA2,Fibroblasts
130347-8,Acinar cells,Acinar cells
130373-8,Classical_REG4,Classical PDAC
130374-8,iCAF,Fibroblasts
130377-8,Basal,Basal-like PDAC
130386-8,Alpha cells,Endocrine cells
130393-8,Acinar cells,Acinar cells
130408-8,Basal,Basal-like PDAC
130411-8,Classical_KRT7,Classical PDAC
130414-8,Acinar cells,Acinar cells
130446-8,Beta cells,Endocrine cells
130447-8,NK cells,Lymphocytes
130473-8,Acinar cells,Acinar cells
130501-8,myCAF_ACTA2,Fibroblasts
130502-8,Classical_TFF1,Classical PDAC
130507-8,Acinar cells,Acinar cells
130551-8,Endothelial cells,Endothelial cells
130555-8,Classical_CEACAM,Classical PDAC
130581-8,Alpha cells,Endocrine cells
130585-8,Classical_KRT7,Classical PDAC
130601-8,Basal,Basal-like PDAC
130623-8,Classical_KRT7,Classical PDAC
130672-8,Classical_CEACAM,Classical PDAC
130675-8,T cells,Lymphocytes
130699-8,Beta cells,Endocrine cells
130705-8,Endothelial cells,Endothelial cells
130716-8,Classical_KRT7,Classical PDAC
130815-8,Schwann cells,Schwann cells
130818-8,Classical_CEACAM,Classical PDAC
130819-8,Beta cells,Endocrine cells
130859-8,Classical_KRT7,Classical PDAC
130861-8,Classical_REG4,Classical PDAC
130889-8,Acinar cells,Acinar cells
130906-8,iCAF,Fibroblasts
130911-8,Ductal cells,Ductal cells
130913-8,Classical_CEACAM,Classical PDAC
130917-8,Classical_CEACAM,Classical PDAC
130939-8,myCAF_ACTA2,Fibroblasts
130975-8,Classical_KRT7,Classical PDAC
130980-8,Classical_CEACAM,Classical PDAC
130994-8,Ductal cells,Ductal cells
130999-8,Ductal cells,Ductal cells
131001-8,Classical_CEACAM,Classical PDAC
131006-8,Acinar cells,Acinar cells
131016-8,Endothelial cells,Endothelial cells
131020-8,Classical_CEACAM,Classical PDAC
131043-8,Classical_CEACAM,Classical PDAC
131051-8,B cells,Lymphocytes
131095-8,Classical_TFF1,Classical PDAC
131111-8,Classical_CEACAM,Classical PDAC
131119-8,myCAF_ACTA2,Fibroblasts
131133-8,Macrophages_M1,Macrophages
131158-8,Classical_CEACAM,Classical PDAC
131159-8,Ductal cells,Ductal cells
131165-8,T cells,Lymphocytes
131172-8,Acinar cells,Acinar cells
131216-8,Classical_CEACAM,Classical PDAC
131220-8,B cells,Lymphocytes
131236-8,Classical_CEACAM,Classical PDAC
131237-8,Basal,Basal-like PDAC
131243-8,Classical_REG4,Classical PDAC
131249-8,myCAF_POSTN,Fibroblasts
131302-8,Acinar cells,Acinar cells
131305-8,Basal,Basal-like PDAC
131316-8,Macrophages_M1,Macrophages
131347-8,myCAF_ACTA2,Fibroblasts
131376-8,Classical_CEACAM,Classical PDAC
131397-8,Classical_CEACAM,Classical PDAC
131405-8,Basal,Basal-like PDAC
131415-8,Classical_CEACAM,Classical PDAC
131418-8,Classical_REG4,Classical PDAC
131424-8,Acinar cells,Acinar cells
131440-8,Classical_CEACAM,Classical PDAC
131454-8,Acinar cells,Acinar cells
131479-8,Macrophages_M1,Macrophages
131509-8,Classical_CEACAM,Classical PDAC
131530-8,Classical_CEACAM,Classical PDAC
131543-8,Classical_TFF1,Classical PDAC
131566-8,Classical_KRT7,Classical PDAC
131577-8,Ductal cells,Ductal cells
131585-8,myCAF_POSTN,Fibroblasts
131592-8,Alpha cells,Endocrine cells
131620-8,Basal,Basal-like PDAC
131622-8,Classical_REG4,Classical PDAC
131628-8,Basal,Basal-like PDAC
131639-8,Classical_TFF1,Classical PDAC
131652-8,Acinar cells,Acinar cells
131661-8,Basal,Basal-like PDAC
131693-8,iCAF,Fibroblasts
131705-8,Classical_CEACAM,Classical PDAC
131723-8,T cells,Lymphocytes
131729-8,myCAF_ACTA2,Fibroblasts
131739-8,Classical_TFF1,Classical PDAC
131741-8,myCAF_POSTN,Fibroblasts
131749-8,Classical_KRT7,Classical PDAC
131772-8,Beta cells,Endocrine cells
131775-8,myCAF_ACTA2,Fibroblasts
131786-8,Classical_CEACAM,Classical PDAC
131804-8,Classical_CEACAM,Classical PDAC
131811-8,Classical_TFF1,Classical PDAC
131812-8,Classical_CEACAM,Classical PDAC
131815-8,myCAF_ACTA2,Fibroblasts
131832-8,myCAF_POSTN,Fibroblasts
131834-8,Basal,Basal-like PDAC
131837-8,Acinar cells,Acinar cells
131858-8,Classical_CEACAM,Classical PDAC
131862-8,Endothelial cells,Endothelial cells
131898-8,Endothelial cells,Endothelial cells
131904-8,Classical_KRT7,Classical PDAC
131907-8,NK cells,Lymphocytes
131922-8,Classical_REG4,Classical PDAC
131925-8,Basal,Basal-like PDAC
131955-8,Endothelial cells,Endothelial cells
132030-8,iCAF,Fibroblasts
132033-8,Endothelial cells,Endothelial cells
132042-8,Classical_KRT7,Classical PDAC
132056-8,Classical_CEACAM,Classical PDAC
132067-8,B cells,Lymphocytes
132072-8,Ductal cells,Ductal cells
132085-8,Basal,Basal-like PDAC
132086-8,myCAF_POSTN,Fibroblasts
132090-8,Classical_KRT7,Classical PDAC
132093-8,Schwann cells,Schwann cells
132096-8,Classical_CEACAM,Classical PDAC
132100-8,Classical_CEACAM,Classical PDAC
132114-8,Basal,Basal-like PDAC
132128-8,Basal,Basal-like PDAC
132157-8,Classical_KRT7,Classical PDAC
132161-8,Classical_TFF1,Classical PDAC
132179-8,Acinar cells,Acinar cells
132183-8,Classical_REG4,Classical PDAC
132195-8,Basal,Basal-like PDAC
132198-8,Ductal cells,Ductal cells
132213-8,Classical_CEACAM,Classical PDAC
132238-8,Basal,Basal-like PDAC
132242-8,Classical_CEACAM,Classical PDAC
132271-8,NK cells,Lymphocytes
132324-8,Classical_CEACAM,Classical PDAC
132333-8,Basal,Basal-like PDAC
132364-8,Classical_CEACAM,Classical PDAC
132385-8,iCAF,Fibroblasts
132419-8,iCAF,Fibroblasts
132425-8,Schwann cells,Schwann cells
132462-8,Classical_TFF1,Classical PDAC
132467-8,Classical_CEACAM,Classical PDAC
132487-8,Beta cells,Endocrine cells
132494-8,Classical_TFF1,Classical PDAC
132500-8,Macrophages_M1,Macrophages
132515-8,Endothelial cells,Endothelial cells
132546-8,myCAF_POSTN,Fibroblasts
132558-8,Basal,Basal-like PDAC
132581-8,Classical_TFF1,Classical PDAC
132584-8,Alpha cells,Endocrine cells
132591-8,Classical_CEACAM,Classical PDAC
132622-8,myCAF_ACTA2,Fibroblasts
132626-8,Classical_CEACAM,Classical PDAC
132629-8,Classical_CEACAM,Classical PDAC
132636-8,B cells,Lymphocytes
132637-8,Classical_KRT7,Classical PDAC
132641-8,B cells,Lymphocytes
132652-8,B cells,Lymphocytes
132657-8,Alpha cells,Endocrine cells
132682-8,Basal,Basal-like PDAC
132709-8,Classical_CEACAM,Classical PDAC
132738-8,Classical_CEACAM,Classical PDAC
132759-8,Classical_CEACAM,Classical PDAC
132766-8,Classical_TFF1,Classical PDAC
132773-8,iCAF,Fibroblasts
132808-8,Classical_CEACAM,Classical PDAC
132830-8,Basal,Basal-like PDAC
132840-8,Schwann cells,Schwann cells
132875-8,Classical_TFF1,Classical PDAC
132879-8,B cells,Lymphocytes
132930-8,Classical_CEACAM,Classical PDAC
132946-8,Classical_TFF1,Classical PDAC
132948-8,Endothelial cells,Endothelial cells
132956-8,myCAF_ACTA2,Fibroblasts
133017-8,Classical_CEACAM,Classical PDAC
133038-8,iCAF,Fibroblasts
133046-8,Macrophages_M1,Macrophages
133054-8,Ductal cells,Ductal cells
133064-8,Classical_KRT7,Classical PDAC
133072-8,Basal,Basal-like PDAC
133074-8,Classical_TFF1,Classical PDAC
133083-8,Delta cells,Endocrine cells
133094-8,Basal,Basal-like PDAC
133108-8,Schwann cells,Schwann cells
133139-8,Endothelial cells,Endothelial cells
133143-8,Alpha cells,Endocrine cells
133177-8,Classical_REG4,Classical PDAC
133188-8,Classical_CEACAM,Classical PDAC
133201-8,Acinar cells,Acinar cells
133202-8,myCAF_ACTA2,Fibroblasts
133219-8,Schwann cells,Schwann cells
133251-8,Acinar cells,Acinar cells
133255-8,Beta cells,Endocrine cells
133260-8,Basal,Basal-like PDAC
133274-8,Classical_KRT7,Classical PDAC
133290-8,B cells,Lymphocytes
133296-8,Beta cells,Endocrine cells
133318-8,Classical_TFF1,Classical PDAC
133323-8,Classical_CEACAM,Classical PDAC
133327-8,Classical_CEACAM,Classical PDAC
133331-8,Basal,Basal-like PDAC
133349-8,Classical_TFF1,Classical PDAC
133351-8,Ductal cells,Ductal cells
133360-8,myCAF_ACTA2,Fibroblasts
133374-8,Classical_CEACAM,Classical PDAC
133384-8,Classical_KRT7,Classical PDAC
133428-8,B cells,Lymphocytes
133443-8,Classical_CEACAM,Classical PDAC
133450-8,Classical_TFF1,Classical PDAC
133457-8,Classical_KRT7,Classical PDAC
133466-8,Classical_CEACAM,Classical PDAC
133501-8,Beta cells,Endocrine cells
133521-8,Classical_CEACAM,Classical PDAC
133530-8,Acinar cells,Acinar cells
133552-8,Beta cells,Endocrine cells
133612-8,Acinar cells,Acinar cells
133622-8,Classical_REG4,Classical PDAC
133638-8,Endothelial cells,Endothelial cells
133649-8,Schwann cells,Schwann cells
133675-8,Classical_TFF1,Classical PDAC
133686-8,Ductal cells,Ductal cells
133696-8,Classical_CEACAM,Classical PDAC
133701-8,Endothelial cells,Endothelial cells
133728-8,myCAF_POSTN,Fibroblasts
133813-8,Classical_KRT7,Classical PDAC
133826-8,Schwann cells,Schwann cells
133827-8,Basal,Basal-like PDAC
133828-8,Acinar cells,Acinar cells
133829-8,Beta cells,Endocrine cells
133839-8,iCAF,Fibroblasts
133858-8,Classical_KRT7,Classical PDAC
133891-8,B cells,Lymphocytes
133903-8,Basal,Basal-like PDAC
133908-8,Acinar cells,Acinar cells
133920-8,Classical_CEACAM,Classical PDAC
133975-8,Beta cells,Endocrine cells
134010-8,iCAF,Fibroblasts
134032-8,Classical_CEACAM,Classical PDAC
134038-8,Schwann cells,Schwann cells
134051-8,Ductal cells,Ductal cells
134090-8,Basal,Basal-like PDAC
134091-8,Classical_TFF1,Classical PDAC
134118-8,Classical_CEACAM,Classical PDAC
134129-8,Classical_TFF1,Classical PDAC
134132-8,Classical_CEACAM,Classical PDAC
134155-8,Ductal cells,Ductal cells
134162-8,T cells,Lymphocytes
134165-8,Classical_CEACAM,Classical PDAC
134181-8,Endothelial cells,Endothelial cells
134249-8,Ductal cells,Ductal cells
134260-8,iCAF,Fibroblasts
134298-8,Classical_TFF1,Classical PDAC
134311-8,Acinar cells,Acinar cells
134323-8,Classical_CEACAM,Classical PDAC
134331-8,myCAF_ACTA2,Fibroblasts
134355-8,Ductal cells,Ductal cells
134369-8,Classical_CEACAM,Classical PDAC
134376-8,Alpha cells,Endocrine cells
134385-8,myCAF_POSTN,Fibroblasts
134386-8,iCAF,Fibroblasts
134396-8,Macrophages_M1,Macrophages
134401-8,Classical_CEACAM,Classical PDAC
134439-8,Macrophages_M1,Macrophages
134452-8,Classical_CEACAM,Classical PDAC
134457-8,T cells,Lymphocytes
134459-8,Classical_CEACAM,Classical PDAC
134469-8,Classical_CEACAM,Classical PDAC
134476-8,Classical_KRT7,Classical PDAC
134479-8,Acinar cells,Acinar cells
134510-8,Classical_KRT7,Classical PDAC
134521-8,Classical_KRT7,Classical PDAC
134525-8,Basal,Basal-like PDAC
134542-8,Beta cells,Endocrine cells
134548-8,Acinar cells,Acinar cells
134559-8,Classical_CEACAM,Classical PDAC
134575-8,Classical_CEACAM,Classical PDAC
134581-8,Ductal cells,Ductal cells
134622-8,Classical_CEACAM,Classical PDAC
134641-8,Basal,Basal-like PDAC
134648-8,Schwann cells,Schwann cells
134666-8,Acinar cells,Acinar cells
134677-8,myCAF_ACTA2,Fibroblasts
134691-8,Classical_TFF1,Classical PDAC
134714-8,Alpha cells,Endocrine cells
134718-8,Basal,Basal-like PDAC
134726-8,Beta cells,Endocrine cells
134782-8,Classical_CEACAM,Classical PDAC
134791-8,Endothelial cells,Endothelial cells
134801-8,Classical_TFF1,Classical PDAC
134802-8,Beta cells,Endocrine cells
134811-8,Classical_CEACAM,Classical PDAC
134823-8,myCAF_POSTN,Fibroblasts
134829-8,Basal,Basal-like PDAC
134838-8,Classical_TFF1,Classical PDAC
134858-8,Basal,Basal-like PDAC
134860-8,Classical_KRT7,Classical PDAC
134869-8,Basal,Basal-like PDAC
134875-8,Basal,Basal-like PDAC
134877-8,Classical_CEACAM,Classical PDAC
134919-8,Classical_KRT7,Classical PDAC
134920-8,Classical_CEACAM,Classical PDAC
134959-8,Ductal cells,Ductal cells
134966-8,Ductal cells,Ductal cells
134970-8,T cells,Lymphocytes
134980-8,Acinar cells,Acinar cells
134997-8,Classical_KRT7,Classical PDAC
135009-8,Classical_KRT7,Classical PDAC
135014-8,Basal,Basal-like PDAC
135022-8,Basal,Basal-like PDAC
135038-8,Alpha cells,Endocrine cells
135056-8,Classical_KRT7,Classical PDAC
135072-8,Acinar cells,Acinar cells
135077-8,Schwann cells,Schwann cells
135095-8,Classical_TFF1,Classical PDAC
135105-8,Delta cells,Endocrine cells
135110-8,Classical_KRT7,Classical PDAC
135117-8,Classical_KRT7,Classical PDAC
135132-8,Classical_CEACAM,Classical PDAC
135157-8,Classical_KRT7,Classical PDAC
135158-8,iCAF,Fibroblasts
135180-8,Classical_CEACAM,Classical PDAC
135212-8,Classical_KRT7,Classical PDAC
135220-8,Classical_CEACAM,Classical PDAC
135231-8,Classical_KRT7,Classical PDAC
135241-8,Classical_CEACAM,Classical PDAC
135248-8,Acinar cells,Acinar cells
135249-8,Classical_TFF1,Classical PDAC
135250-8,Classical_TFF1,Classical PDAC
135252-8,Classical_CEACAM,Classical PDAC
135267-8,Delta cells,Endocrine cells
135281-8,Beta cells,Endocrine cells
135294-8,Classical_CEACAM,Classical PDAC
135298-8,myCAF_ACTA2,Fibroblasts
135308-8,Classical_CEACAM,Classical PDAC
135334-8,B cells,Lymphocytes
135373-8,Classical_CEACAM,Classical PDAC
135391-8,Classical_CEACAM,Classical PDAC
135392-8,B cells,Lymphocytes
135398-8,Basal,Basal-like PDAC
135420-8,Classical_CEACAM,Classical PDAC
135424-8,Basal,Basal-like PDAC
135428-8,Macrophages_M1,Macrophages
135461-8,Classical_KRT7,Classical PDAC
135471-8,Classical_KRT7,Classical PDAC
135489-8,Endothelial cells,Endothelial cells
135505-8,Classical_TFF1,Classical PDAC
135536-8,Classical_CEACAM,Classical PDAC
135559-8,Beta cells,Endocrine cells
135572-8,Schwann cells,Schwann cells
135573-8,Alpha cells,Endocrine cells
135576-8,T cells,Lymphocytes
135604-8,iCAF,Fibroblasts
135607-8,Classical_CEACAM,Classical PDAC
135608-8,Basal,Basal-like PDAC
135615-8,Classical_REG4,Classical PDAC
135646-8,Beta cells,Endocrine cells
135653-8,Classical_CEACAM,Classical PDAC
135657-8,Alpha cells,Endocrine cells
135658-8,Classical_CEACAM,Classical PDAC
135660-8,Classical_KRT7,Classical PDAC
135662-8,Endothelial cells,Endothelial cells
135678-8,Classical_KRT7,Classical PDAC
135687-8,myCAF_POSTN,Fibroblasts
135716-8,B cells,Lymphocytes
135737-8,Classical_CEACAM,Classical PDAC
135756-8,Classical_CEACAM,Classical PDAC
135772-8,Classical_CEACAM,Classical PDAC
135784-8,Acinar cells,Acinar cells
135786-8,Basal,Basal-like PDAC
135788-8,Classical_KRT7,Classical PDAC
135798-8,Classical_KRT7,Classical PDAC
135840-8,Classical_KRT7,Classical PDAC
135866-8,Classical_CEACAM,Classical PDAC
135907-8,Beta cells,Endocrine cells
135922-8,Classical_CEACAM,Classical PDAC
135934-8,Classical_CEACAM,Classical PDAC
135936-8,Classical_CEACAM,Classical PDAC
135941-8,Classical_CEACAM,Classical PDAC
135942-8,Basal,Basal-like PDAC
135980-8,Classical_CEACAM,Classical PDAC
135989-8,iCAF,Fibroblasts
135995-8,B cells,Lymphocytes
135999-8,Ductal cells,Ductal cells
136017-8,Classical_CEACAM,Classical PDAC
136020-8,Basal,Basal-like PDAC
136023-8,Classical_CEACAM,Classical PDAC
136029-8,Classical_TFF1,Classical PDAC
136036-8,Classical_TFF1,Classical PDAC
136053-8,Classical_CEACAM,Classical PDAC
136062-8,Basal,Basal-like PDAC
136089-8,iCAF,Fibroblasts
136095-8,Ductal cells,Ductal cells
136100-8,Ductal cells,Ductal cells
136104-8,Classical_CEACAM,Classical PDAC
136120-8,Classical_CEACAM,Classical PDAC
136144-8,Schwann cells,Schwann cells
136150-8,Classical_TFF1,Classical PDAC
136153-8,myCAF_POSTN,Fibroblasts
136204-8,Classical_CEACAM,Classical PDAC
136210-8,myCAF_ACTA2,Fibroblasts
136214-8,Classical_KRT7,Classical PDAC
136244-8,Ductal cells,Ductal cells
136251-8,Schwann cells,Schwann cells
136254-8,Classical_CEACAM,Classical PDAC
136265-8,Classical_CEACAM,Classical PDAC
136278-8,Classical_CEACAM,Classical PDAC
136284-8,Classical_CEACAM,Classical PDAC
136288-8,Classical_REG4,Classical PDAC
136297-8,iCAF,Fibroblasts
136311-8,myCAF_ACTA2,Fibroblasts
136326-8,Endothelial cells,Endothelial cells
136332-8,Basal,Basal-like PDAC
136351-8,Classical_CEACAM,Classical PDAC
136383-8,Classical_CEACAM,Classical PDAC
136386-8,Classical_CEACAM,Classical PDAC
136389-8,Classical_KRT7,Classical PDAC
136396-8,Classical_CEACAM,Classical PDAC
136462-8,Alpha cells,Endocrine cells
136468-8,myCAF_ACTA2,Fibroblasts
136497-8,Classical_CEACAM,Classical PDAC
136498-8,Classical_CEACAM,Classical PDAC
136512-8,Classical_TFF1,Classical PDAC
136524-8,Classical_CEACAM,Classical PDAC
136526-8,Classical_CEACAM,Classical PDAC
136528-8,iCAF,Fibroblasts
136534-8,myCAF_ACTA2,Fibroblasts
136538-8,Classical_KRT7,Classical PDAC
136541-8,iCAF,Fibroblasts
136551-8,Basal,Basal-like PDAC
136620-8,Classical_KRT7,Classical PDAC
136632-8,Endothelial cells,Endothelial cells
136634-8,Classical_TFF1,Classical PDAC
136649-8,Classical_CEACAM,Classical PDAC
136651-8,Classical_CEACAM,Classical PDAC
136664-8,Classical_CEACAM,Classical PDAC
136706-8,Ductal cells,Ductal cells
136714-8,Classical_TFF1,Classical PDAC
136715-8,Beta cells,Endocrine cells
136746-8,myCAF_ACTA2,Fibroblasts
136747-8,myCAF_POSTN,Fibroblasts
136748-8,Classical_KRT7,Classical PDAC
136767-8,Beta cells,Endocrine cells
136769-8,Endothelial cells,Endothelial cells
136774-8,Classical_CEACAM,Classical PDAC
136791-8,Ductal cells,Ductal cells
136806-8,Ductal cells,Ductal cells
136824-8,Classical_CEACAM,Classical PDAC
136841-8,Classical_CEACAM,Classical PDAC
136843-8,Classical_CEACAM,Classical PDAC
136844-8,Macrophages_M1,Macrophages
136845-8,Classical_TFF1,Classical PDAC
136854-8,iCAF,Fibroblasts
136872-8,Classical_CEACAM,Classical PDAC
136893-8,myCAF_ACTA2,Fibroblasts
136955-8,Acinar cells,Acinar cells
136968-8,Classical_CEACAM,Classical PDAC
137002-8,Classical_CEACAM,Classical PDAC
137020-8,Classical_CEACAM,Classical PDAC
137027-8,Alpha cells,Endocrine cells
137032-8,Classical_TFF1,Classical PDAC
137045-8,NK cells,Lymphocytes
137082-8,Basal,Basal-like PDAC
137091-8,T cells,Lymphocytes
137096-8,Classical_CEACAM,Classical PDAC
137100-8,B cells,Lymphocytes
